landkode;land;lbnppc_1960;lbnppc_1996;lbnppc_2014;skole_p_1960;skole_h_1960;gruve_1960;olje_1960;malaria_1960;kapitalisme_1960;skole_p_1996
SYR;Syrian Arab Republic;7.693541437;8.520763274;8.250821725;0.65;0.04;0.08;0;0.0644;1;0.963875885
TCA;Turks and Caicos Islands;;8.844241271;8.982979613;;;;;;;
TCD;Chad;7.11148457;6.79369284;7.582055396;0.17;0;0;0;;5;0.374203796
TGO;Togo;7.015010065;7.221768645;7.197851196;0.44;0;0.09;0;1;1;0.786700974
THA;Thailand;7.055164349;9.167912017;9.591621182;0.83;0.02;0.02;0;0.57876;3;
TJK;Tajikistan;;7.337776638;8.184421136;;;;;;;
TKM;Turkmenistan;;8.859079764;9.974125681;;;;;;;
TTO;Trinidad and Tobago;9.037732411;9.516430374;10.33508975;0.88;0.01;0.16;0;0;3;0.886673508
TUN;Tunisia;7.640480109;8.787239518;9.304238192;0.66;0.01;0.08;0;0;4;0.954605408
TUR;Turkey;8.496904863;9.407902978;9.831421204;0.75;0.03;0.02;0;0;3;
TWN;Taiwan;7.634514399;9.965672203;10.63050489;0.96;0.05;0.02;0;0;3;
TZA;UR of Tanzania: Mainland;6.956255791;7.25799442;7.799435283;0.25;0;0;0;0.98;0;0.488392715
UGA;Uganda;6.882352239;6.953517834;7.561491992;0.49;0;0;0;0.86;3;
UKR;Ukraine;;8.660458846;9.184839789;;;;;;;
URY;Uruguay;8.90915996;9.392511906;9.860142146;1;0.08;0;0;0;3;0.920450821
USA;United States;9.763309599;10.60874609;10.85167985;1;0.32;0.02;0;0;5;0.96462883
UZB;Uzbekistan;;8.170808971;9.096895035;;;;;;;
VCT;St Vincent and the Grenadines;;8.664846062;9.087439165;;;;0;;5;
VEN;Venezuela (Bolivarian Republic of);9.387131654;9.657462299;9.769050431;1;0.04;0.11;1;0.09504;3;
VGB;British Virgin Islands;;10.20763071;10.17201717;;;;;;;
VNM;Viet Nam;;7.665329277;8.601480595;;;;;;;
YEM;Yemen;;8.190087293;8.288507391;0.08;0;0.01;0;0.72048;3;
ZAF;South Africa;8.897958672;9.124617461;9.405391305;0.89;0.03;0.11;0;0;3;
ZMB;Zambia;7.893469129;7.587187062;8.165213875;0.42;0;0.2;0;1;1;
ZWE;Zimbabwe;7.006293297;7.284308448;7.431082773;0.96;0;0.06;0;1;3;
